"SKU","Cód. de Barras (EAN)","Descripción","Marca","Categoría","Subcategoría","UN","Ubicación","Stock Actual","Stock Mínimo","Stock Máximo","Lote","Fecha de Fabricación","Fecha de Vencimiento","Costo Unitario","Precio de Venta Unitario","Proveedor Principal","Tiempo de Reposición","","","","","","","",""
"HOR-123","2000000000123","Papa Lavada","S/M","Frutas y Verduras","Verduras","KG","Exhibidor 1","120","40","300","N/A","6/10/2026","6/30/2026","3.5","6.99","Mercado Central","1 día","","","","","","","",""
"HOR-124","2000000000124","Zanahoria","S/M","Frutas y Verduras","Verduras","KG","Exhibidor 2","60","20","150","N/A","6/12/2026","6/25/2026","3","5.99","Productor Local A","2 días","","","","","","","",""
"HOR-125","2000000000125","Ajo a Granel","S/M","Frutas y Verduras","Condimentos","KG","Exhibidor 1","30","10","80","N/A","6/1/2026","8/30/2026","15","28.9","Importadora Ajo","3 días","","","","","","","",""
"HOR-126","2000000000126","Pimiento Verde","S/M","Frutas y Verduras","Verduras","KG","Exhibidor 2","20","8","60","N/A","6/13/2026","6/20/2026","5","9.9","Productor Local A","2 días","","","","","","","",""
"HOR-127","2000000000127","Chayote","S/M","Frutas y Verduras","Verduras","KG","Exhibidor 2","40","15","100","N/A","6/13/2026","6/22/2026","2.5","4.99","Productor Local B","2 días","","","","","","","",""
"HOR-128","2000000000128","Calabacín / Zucchini","S/M","Frutas y Verduras","Verduras","KG","Exhibidor 2","35","10","90","N/A","6/14/2026","6/21/2026","3.8","6.99","Productor Local B","2 días","","","","","","","",""
"HOR-129","2000000000129","Plátano / Banana Manzano","S/M","Frutas y Verduras","Frutas","KG","Exhibidor 3","80","30","200","N/A","6/12/2026","6/18/2026","3.5","6.99","Mercado Central","1 día","","","","","","","",""
"HOR-130","2000000000130","Plátano / Banana Cavendish","S/M","Frutas y Verduras","Frutas","KG","Exhibidor 3","60","20","150","N/A","6/12/2026","6/17/2026","3","5.99","Mercado Central","1 día","","","","","","","",""
"HOR-131","2000000000131","Manzana Gala","S/M","Frutas y Verduras","Frutas","KG","Exhibidor 4","50","20","120","N/A","6/5/2026","6/25/2026","6","11.9","Distribuidora Frutas","2 días","","","","","","","",""
"HOR-132","2000000000132","Manzana Fuji","S/M","Frutas y Verduras","Frutas","KG","Exhibidor 4","40","15","100","N/A","6/5/2026","6/25/2026","6.5","12.9","Distribuidora Frutas","2 días","","","","","","","",""
"HOR-133","2000000000133","Papaya Formosa","S/M","Frutas y Verduras","Frutas","KG","Exhibidor 3","30","10","80","N/A","6/12/2026","6/19/2026","4.5","8.9","Mercado Central","1 día","","","","","","","",""
"HOR-134","2000000000134","Papaya Pequeña","S/M","Frutas y Verduras","Frutas","UN","Exhibidor 3","40","15","100","N/A","6/13/2026","6/18/2026","3","5.9","Mercado Central","1 día","","","","","","","",""
"HOR-135","2000000000135","Naranja para Jugo","S/M","Frutas y Verduras","Frutas","KG","Exhibidor 4","100","40","250","N/A","6/10/2026","6/25/2026","2.5","4.99","Productor Local C","2 días","","","","","","","",""
"HOR-136","2000000000136","Limón Verde / Tahití","S/M","Frutas y Verduras","Frutas","KG","Exhibidor 4","60","20","150","N/A","6/8/2026","6/30/2026","3.5","6.9","Productor Local C","2 días","","","","","","","",""
"HOR-137","2000000000137","Lechuga Crespa","S/M","Frutas y Verduras","Vegetales Frescos","UN","Exhibidor Frío","50","15","100","N/A","6/14/2026","6/17/2026","1.5","2.99","Huerta Local","1 día","","","","","","","",""
"HOR-138","2000000000138","Arúgula / Rúcula Manojo","S/M","Frutas y Verduras","Vegetales Frescos","UN","Exhibidor Frío","30","10","70","N/A","6/14/2026","6/17/2026","1.8","3.5","Huerta Local","1 día","","","","","","","",""
"HOR-139","2000000000139","Hierbas Frescas (Cilantro/Perejil)","S/M","Frutas y Verduras","Condimentos","UN","Exhibidor Frío","60","20","120","N/A","6/14/2026","6/18/2026","1","2.5","Huerta Local","1 día","","","","","","","",""
"HOR-140","2000000000140","Huevos Blancos Grandes 30 un","San Juan","Frutas y Verduras","Huevos","UN","Pasillo 12","100","30","250","L-202740","6/10/2026","7/10/2026","12","19.9","Productora San Juan","3 días","","","","","","","",""
"LIM-141","7896000000141","Detergente en Polvo Lavado Perfecto 1kg","Ariel","Limpieza","Lavandería","UN","Pasillo 13","200","80","500","L-202741","5/1/2026","5/1/2028","9.5","15.9","P&G","3 días","","","","","","","",""
"LIM-142","7896000000142","Detergente en Polvo Regular 1kg","Ace","Limpieza","Lavandería","UN","Pasillo 13","150","50","400","L-202742","5/15/2026","5/15/2028","7.5","12.5","P&G","3 días","","","","","","","",""
"LIM-143","7896000000143","Detergente Líquido Ariel 2L","Ariel","Limpieza","Lavandería","UN","Pasillo 13","100","30","250","L-202743","4/10/2026","4/10/2028","25","38.9","P&G","4 días","","","","","","","",""
"LIM-144","7896000000144","Suavizante Tradicional 2L","Suavitel","Limpieza","Lavandería","UN","Pasillo 13","120","40","300","L-202744","5/5/2026","5/5/2028","11","17.9","Colgate-Palmolive","3 días","","","","","","","",""
"LIM-145","7896000000145","Suavizante Downy Brisa de Verano 1L","Downy","Limpieza","Lavandería","UN","Pasillo 13","90","30","200","L-202745","5/20/2026","5/20/2028","14","22.9","P&G","4 días","","","","","","","",""
"LIM-146","7896000000146","Lavaplatos Líquido Neutro 500ml","Salvo","Limpieza","Cocina","UN","Pasillo 14","500","150","1200","L-202746","6/1/2026","6/1/2028","1.5","2.49","P&G","2 días","","","","","","","",""
"LIM-147","7896000000147","Lavaplatos Líquido Limón 500ml","Axión","Limpieza","Cocina","UN","Pasillo 14","300","100","800","L-202747","6/2/2026","6/2/2028","1.5","2.49","Colgate-Palmolive","2 días","","","","","","","",""
"LIM-148","7896000000148","Lavaplatos Líquido Clear 500ml","Ayudín","Limpieza","Cocina","UN","Pasillo 14","250","80","600","L-202748","5/10/2026","5/10/2028","1.4","2.35","Clorox","3 días","","","","","","","",""
"LIM-149","7896000000149","Esponja Multiuso Doble Cara 3 un","Scotch-Brite","Limpieza","Accesorios","UN","Pasillo 14","150","50","350","L-202749","4/15/2026","Indeterminado","3","4.99","3M","4 días","","","","","","","",""
"LIM-150","7896000000150","Esponja / Lana de Acero 8 un","Brillo","Limpieza","Accesorios","UN","Pasillo 14","200","60","500","L-202750","5/1/2026","Indeterminado","2.5","4.2","Armaly Brands","3 días","","","","","","","",""
"LIM-151","7896000000151","Desinfectante Pino 1L","Pinol","Limpieza","Limpieza General","UN","Pasillo 15","120","40","300","L-202751","5/20/2026","5/20/2028","6","9.5","Alen","3 días","","","","","","","",""
"LIM-152","7896000000152","Desinfectante Lavanda 2L","Fabuloso","Limpieza","Limpieza General","UN","Pasillo 15","90","30","200","L-202752","6/10/2026","6/10/2028","8.5","13.9","Colgate-Palmolive","3 días","","","","","","","",""
"LIM-153","7896000000153","Limpiador Multiuso Tradicional 500ml","Mr. Músculo","Limpieza","Limpieza General","UN","Pasillo 15","180","60","400","L-202753","6/5/2026","6/5/2028","4.2","6.5","SC Johnson","3 días","","","","","","","",""
"LIM-154","7896000000154","Cloro / Lejía 2L","Cloralex","Limpieza","Limpieza General","UN","Pasillo 15","250","80","600","L-202754","6/1/2026","12/1/2026","3.5","5.99","Alen","2 días","","","","","","","",""
"LIM-155","7896000000155","Alcohol Líquido 70% 1L","Genérico","Limpieza","Limpieza General","UN","Pasillo 15","150","50","350","L-202755","5/15/2026","5/15/2028","6.5","10.5","Distribuidora Química","3 días","","","","","","","",""
"LIM-156","7896000000156","Bolsas para Basura 50L 30 un","Glad","Limpieza","Accesorios","UN","Pasillo 15","100","30","250","L-202756","4/10/2026","Indeterminado","8","12.9","Clorox","4 días","","","","","","","",""
"LIM-157","7896000000157","Bolsas para Basura 100L 15 un","Reynolds","Limpieza","Accesorios","UN","Pasillo 15","80","25","200","L-202757","4/12/2026","Indeterminado","10","16.5","Reynolds","4 días","","","","","","","",""
"LIM-158","7896000000158","Insecticida Aerosol 380ml","Baygon","Limpieza","Insecticidas","UN","Pasillo 15","90","30","220","L-202758","5/1/2026","5/1/2028","11.5","18.9","SC Johnson","3 días","","","","","","","",""
"LIM-159","7896000000159","Insecticida Aerosol 380ml","Raid","Limpieza","Insecticidas","UN","Pasillo 15","80","25","200","L-202759","5/15/2026","5/15/2028","12","19.5","SC Johnson","3 días","","","","","","","",""
"LIM-160","7896000000160","Pastilla Inodoro / Desodorante para Baño","Glade","Limpieza","Baño","UN","Pasillo 15","150","50","350","L-202760","4/20/2026","4/20/2028","2.5","4.2","SC Johnson","4 días","","","","","","","",""
"LIM-161","7896000000161","Limpiador de Muebles Lavanda 200ml","Pledge / Blem","Limpieza","Limpieza Específica","UN","Pasillo 15","60","20","150","L-202761","5/10/2026","5/10/2028","6.5","10.9","SC Johnson","4 días","","","","","","","",""
"LIM-162","7896000000162","Limpiavidrios Gatillo 500ml","Windex","Limpieza","Limpieza Específica","UN","Pasillo 15","70","25","180","L-202762","6/5/2026","6/5/2028","7.5","12.5","SC Johnson","3 días","","","","","","","",""
"LIM-163","7896000000163","Jalador / Escurridor de Pisos","Vileda","Limpieza","Accesorios","UN","Pasillo 15","40","15","100","L-202763","1/1/2026","Indeterminado","12","19.9","Freudenberg","5 días","","","","","","","",""
"LIM-164","7896000000164","Escoba Plástica / Fibra","Vileda","Limpieza","Accesorios","UN","Pasillo 15","50","15","120","L-202764","1/15/2026","Indeterminado","14","23.9","Freudenberg","5 días","","","","","","","",""
"LIM-165","7896000000165","Trapo / Paño para Pisos","Scotch-Brite","Limpieza","Accesorios","UN","Pasillo 15","100","30","250","L-202765","2/20/2026","Indeterminado","3.5","6.5","3M","5 días","","","","","","","",""
"LIM-166","7896000000166","Jabón en Barra Lavandería 400g","Zote","Limpieza","Lavandería","UN","Pasillo 13","120","40","300","L-202766","5/10/2026","5/10/2028","6.8","10.9","Fábrica de Jabón La Corona","3 días","","","","","","","",""
"LIM-167","7896000000167","Quitamanchas en Polvo 450g","Vanish","Limpieza","Lavandería","UN","Pasillo 13","80","25","200","L-202767","6/1/2026","6/1/2028","15","24.9","Reckitt","3 días","","","","","","","",""
"LIM-168","7896000000168","Suavizante Concentrado 500ml","Downy","Limpieza","Lavandería","UN","Pasillo 13","100","30","250","L-202768","5/15/2026","5/15/2028","10.5","17.5","P&G","4 días","","","","","","","",""
"LIM-169","7896000000169","Esponja de Acero Inoxidable","Scotch-Brite","Limpieza","Accesorios","UN","Pasillo 14","90","30","220","L-202769","4/10/2026","Indeterminado","2.8","4.99","3M","4 días","","","","","","","",""
"LIM-170","7896000000170","Desengrasante Gatillo 500ml","Cif","Limpieza","Cocina","UN","Pasillo 14","75","25","180","L-202770","5/5/2026","5/5/2028","8.5","14.5","Unilever","3 días","","","","","","","",""
"HIG-171","7897000000171","Jabón de Tocador Blanco 90g","Dove","Cuidado Personal","Baño","UN","Pasillo 16","250","80","600","L-202771","5/1/2026","5/1/2029","2.5","4.2","Unilever","3 días","","","","","","","",""
"HIG-172","7897000000172","Jabón de Tocador Rosa 90g","Lux","Cuidado Personal","Baño","UN","Pasillo 16","200","60","500","L-202772","5/10/2026","5/10/2029","1.8","2.99","Unilever","3 días","","","","","","","",""
"HIG-173","7897000000173","Jabón Antibacterial 90g","Protex","Cuidado Personal","Baño","UN","Pasillo 16","180","60","450","L-202773","5/15/2026","5/15/2029","2.2","3.7","Colgate-Palmolive","3 días","","","","","","","",""
"HIG-174","7897000000174","Shampoo Anticaspa Clásico 200ml","Head & Shoulders","Cuidado Personal","Cabello","UN","Pasillo 16","100","30","250","L-202774","4/1/2026","4/1/2029","12","19.9","P&G","4 días","","","","","","","",""
"HIG-175","7897000000175","Shampoo Hidratación 200ml","Pantene","Cuidado Personal","Cabello","UN","Pasillo 16","120","40","300","L-202775","4/15/2026","4/15/2029","11.5","18.9","P&G","4 dias","","","","","","","",""
"HIG-176","7897000000176","Acondicionador Hidratación 200ml","Sedal / Sunsilk","Cuidado Personal","Cabello","UN","Pasillo 16","100","30","250","L-202776","4/15/2026","4/15/2029","12.5","20.5","Unilever","4 dias","","","","","","","",""
"HIG-177","7897000000177","Crema Dental Triple Acción 90g","Colgate","Cuidado Personal","Bucal","UN","Pasillo 17","300","100","800","L-202777","6/1/2026","6/1/2029","2.8","4.5","Colgate-Palmolive","3 días","","","","","","","",""
"HIG-178","7897000000178","Crema Dental Protección 90g","Crest","Cuidado Personal","Bucal","UN","Pasillo 17","250","80","600","L-202778","5/10/2026","5/10/2029","2.2","3.6","P&G","3 días","","","","","","","",""
"HIG-179","7897000000179","Cepillo Dental Suave 2 un","Oral-B","Cuidado Personal","Bucal","UN","Pasillo 17","150","50","350","L-202779","3/1/2026","Indeterminado","8.5","14.9","P&G","4 días","","","","","","","",""
"HIG-180","7897000000180","Enjuague Bucal Menta 500ml","Listerine","Cuidado Personal","Bucal","UN","Pasillo 17","80","25","200","L-202780","5/15/2026","5/15/2029","16","26.9","Kenvue","4 días","","","","","","","",""
"HIG-181","7897000000181","Hilo Dental 50m","Johnson's","Cuidado Personal","Bucal","UN","Pasillo 17","120","40","300","L-202781","4/20/2026","Indeterminado","6","9.9","Kenvue","4 días","","","","","","","",""
"HIG-182","7897000000182","Papel Higiénico Doble Hoja 30m c/ 12","Pétalo","Cuidado Personal","Uso Personal","UN","Pasillo 18","150","50","400","L-202782","6/1/2026","Indeterminado","14","22.9","Kimberly-Clark","3 días","","","","","","","",""
"HIG-183","7897000000183","Papel Higiénico Hoja Simple 30m c/ 4","Scott","Cuidado Personal","Uso Personal","UN","Pasillo 18","200","60","500","L-202783","6/10/2026","Indeterminado","3.8","6.5","Kimberly-Clark","3 días","","","","","","","",""
"HIG-184","7897000000184","Toalla Femenina / Sanitaria con Alas c/ 8","Kotex","Cuidado Personal","Íntima","UN","Pasillo 18","120","40","300","L-202784","5/5/2026","5/5/2029","4.5","7.9","Kimberly-Clark","4 días","","","","","","","",""
"HIG-185","7897000000185","Toalla Femenina Nocturna c/ 8","Saba / Nosotras","Cuidado Personal","Íntima","UN","Pasillo 18","90","30","220","L-202785","5/15/2026","5/15/2029","6","10.5","Essity","4 días","","","","","","","",""
"HIG-186","7897000000186","Desodorante Aerosol Invisible 150ml","Rexona","Cuidado Personal","Desodorantes","UN","Pasillo 16","150","50","350","L-202786","6/1/2026","6/1/2029","11","18.9","Unilever","3 días","","","","","","","",""
"HIG-187","7897000000187","Desodorante Aerosol Men 150ml","Dove","Cuidado Personal","Desodorantes","UN","Pasillo 16","100","30","250","L-202787","5/10/2026","5/10/2029","12.5","21.5","Unilever","3 días","","","","","","","",""
"HIG-188","7897000000188","Desodorante Roll-on 50ml","Lady Speed Stick","Cuidado Personal","Desodorantes","UN","Pasillo 16","80","25","200","L-202788","4/20/2026","4/20/2029","5.5","9.5","Colgate-Palmolive","4 días","","","","","","","",""
"HIG-189","7897000000189","Máquina de Afeitar / Rastrillo Lleve 3 Pague 2","Gillette","Cuidado Personal","Afeitado","UN","Pasillo 16","120","40","300","L-202789","3/15/2026","Indeterminado","15","24.9","P&G","4 días","","","","","","","",""
"HIG-190","7897000000190","Espuma de Afeitar 150g","Nivea Men","Cuidado Personal","Afeitado","UN","Pasillo 16","60","20","150","L-202790","4/5/2026","4/5/2029","8.5","14.9","Beiersdorf","4 días","","","","","","","",""
"HIG-191","7897000000191","Pañal Desechable P c/ 36","Pampers","Cuidado Personal","Infantil","UN","Pasillo 19","60","20","150","L-202791","5/1/2026","5/1/2029","35","55.9","P&G","3 días","","","","","","","",""
"HIG-192","7897000000192","Pañal Desechable M c/ 32","Pampers","Cuidado Personal","Infantil","UN","Pasillo 19","80","25","200","L-202792","5/5/2026","5/5/2029","35","55.9","P&G","3 días","","","","","","","",""
"HIG-193","7897000000193","Pañal Desechable G c/ 28","Huggies","Cuidado Personal","Infantil","UN","Pasillo 19","70","25","180","L-202793","5/10/2026","5/10/2029","28","45.9","Kimberly-Clark","3 días","","","","","","","",""
"HIG-194","7897000000194","Toallitas Húmedas c/ 48","Johnson's Baby","Cuidado Personal","Infantil","UN","Pasillo 19","120","40","300","L-202794","5/15/2026","5/15/2029","8.5","14.5","Kenvue","4 días","","","","","","","",""
"HIG-195","7897000000195","Shampoo Infantil 200ml","Johnson's Baby","Cuidado Personal","Infantil","UN","Pasillo 19","90","30","220","L-202795","5/20/2026","5/20/2029","11","18.5","Kenvue","4 días","","","","","","","",""
"HIG-196","7897000000196","Algodón en Discos 50 un","Jaloma","Cuidado Personal","Botiquín","UN","Pasillo 18","100","30","250","L-202796","4/1/2026","4/1/2031","5.5","9.5","Jaloma","5 días","","","","","","","",""
"HIG-197","7897000000197","Hisopos / Cotonetes c/ 75","Q-tips","Cuidado Personal","Uso Personal","UN","Pasillo 18","150","50","350","L-202797","4/10/2026","Indeterminado","3.8","6.5","Unilever","4 días","","","","","","","",""
"HIG-198","7897000000198","Curitas / Vendajes Adhesivos c/ 10","Band-Aid","Cuidado Personal","Botiquín","UN","Pasillo 18","120","40","300","L-202798","4/15/2026","4/15/2031","4.5","7.9","Kenvue","5 días","","","","","","","",""
"HIG-199","7897000000199","Agua Oxigenada 10v 100ml","Genérico","Cuidado Personal","Botiquín","UN","Pasillo 18","80","25","200","L-202799","5/1/2026","5/1/2029","2.5","4.5","Farmacias","5 días","","","","","","","",""
"HIG-200","7897000000200","Preservativo / Condón c/ 3","Trojan","Cuidado Personal","Íntima","UN","Caja PDV","200","60","500","L-202800","5/10/2026","5/10/2031","4.8","8.5","Church & Dwight","3 días","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
